latitude,longitude,blue,green,red,nir,swir,ndvi,ndwi,ndbi,land_cover
41.732244,-72.633188,0.15161,0.18824,0.14717,0.2397,0.42502,0.23919,-0.12025,0.27879,built
41.810381,-72.620943,0.07867,0.17575,0.22844,0.2371,0.40931,0.01859,-0.1486,0.26641,built
41.81853,-72.642968,0.17945,0.18813,0.10683,0.22915,0.39395,0.36406,-0.0983,0.26449,built
41.740977,-72.705038,0.17992,0.19533,0.18365,0.16131,0.42776,-0.06474,0.09537,0.45231,built
41.832469,-72.614393,0.02989,0.12725,0.03918,0.39832,0.11203,0.8209,-0.51576,-0.56096,vegetation
41.801617,-72.614377,0.10346,0.08619,0.10137,0.21394,0.42411,0.35703,-0.42564,0.32939,built
41.790351,-72.677588,0.12021,0.20203,0.17207,0.29054,0.36241,0.2561,-0.1797,0.11007,built
41.791648,-72.626029,0.16692,0.20498,0.12006,0.219,0.32017,0.29179,-0.03306,0.18765,built
41.820655,-72.538906,0.13581,0.08222,0.23156,0.2786,0.38864,0.0922,-0.54425,0.16492,bare_soil
41.756919,-72.637794,0.05565,0.10934,0.04477,0.07694,0.02262,0.26436,0.17393,-0.54567,water
41.808937,-72.755834,0.12176,0.11253,0.14789,0.27441,0.39869,0.29959,-0.41836,0.18463,bare_soil
41.77203,-72.656327,0.06606,0.07341,0.06255,0.02812,0.056,-0.37977,0.44613,0.33145,water
41.818324,-72.599358,0.10563,0.1987,0.23365,0.23816,0.26479,0.00955,-0.09033,0.05294,built
41.855195,-72.603623,0.11311,0.1472,0.12709,0.18738,0.32102,0.19171,-0.12008,0.26288,bare_soil
41.825963,-72.582864,0.08047,0.10001,0.16336,0.33103,0.22742,0.33916,-0.53597,-0.18553,bare_soil
41.723267,-72.685751,0.12878,0.12314,0.12865,0.31711,0.40877,0.42277,-0.44059,0.12628,bare_soil
41.751732,-72.622115,0.0458,0.10546,0.08002,0.43408,0.13626,0.68869,-0.60908,-0.52219,vegetation
41.72374,-72.52469,0.1419,0.14837,0.1846,0.36694,0.39924,0.33061,-0.42416,0.04215,bare_soil
41.857812,-72.726495,0.1619,0.15056,0.21289,0.24459,0.19518,0.0693,-0.23796,-0.11235,bare_soil
41.797123,-72.631866,0.04938,0.12932,0.08919,0.56418,0.25025,0.72698,-0.62706,-0.38546,vegetation
41.757301,-72.613773,0.13472,0.18312,0.18877,0.23617,0.34946,0.11155,-0.12654,0.19345,built
41.801669,-72.676063,0.10273,0.05733,0.03942,0.05596,0.02058,0.17335,0.01212,-0.46219,water
41.835221,-72.686261,0.0419,0.09152,0.07516,0.61636,0.2203,0.78261,-0.74142,-0.47337,vegetation
41.81761,-72.643957,0.09129,0.18683,0.15746,0.15691,0.31977,-0.00174,0.08702,0.34164,built
41.824622,-72.637,0.11304,0.11388,0.05401,0.07042,0.01907,0.13188,0.23582,-0.57381,water
41.799653,-72.697338,0.11502,0.08104,0.04548,0.04682,0.05168,0.01451,0.26763,0.04934,water
41.831937,-72.669076,0.07636,0.08293,0.06781,0.0498,0.01881,-0.15311,0.24957,-0.45178,water
41.795492,-72.738875,0.13821,0.14989,0.1611,0.27405,0.30278,0.25956,-0.29288,0.0498,bare_soil
41.7819,-72.672544,0.15294,0.17627,0.2235,0.23703,0.30707,0.02937,-0.14701,0.12873,bare_soil
41.842468,-72.702327,0.13893,0.10171,0.14449,0.22603,0.20194,0.22005,-0.37932,-0.05628,bare_soil
41.691678,-72.536262,0.05811,0.12753,0.0348,0.54662,0.11848,0.88031,-0.62166,-0.64372,vegetation
41.757589,-72.689959,0.09682,0.06855,0.04228,0.06803,0.04302,0.23342,0.00384,-0.22516,water
41.782477,-72.625478,0.15882,0.1524,0.18566,0.18879,0.35458,0.00835,-0.10664,0.30513,built
41.721839,-72.609142,0.03496,0.09268,0.04446,0.50422,0.14946,0.83795,-0.68947,-0.54271,vegetation
41.858915,-72.548596,0.03641,0.10946,0.08148,0.3933,0.11289,0.65675,-0.56455,-0.55397,vegetation
41.763401,-72.671554,0.11248,0.06412,0.05496,0.02455,0.01705,-0.38245,0.44623,-0.18027,water
