solar_radiation,wind_speed_mph,temperature_f,month,day,ozone_level_ppb
190,7.4,67,5,1,41
118,8.0,72,5,2,36
149,12.6,74,5,3,12
313,11.5,62,5,4,18
299,8.6,65,5,7,23
99,13.8,59,5,8,19
19,20.1,61,5,9,8
256,9.7,69,5,12,16
290,9.2,66,5,13,11
274,10.9,68,5,14,14
65,13.2,58,5,15,18
334,11.5,64,5,16,14
307,12.0,66,5,17,34
78,18.4,57,5,18,6
322,11.5,68,5,19,30
44,9.7,62,5,20,11
8,9.7,59,5,21,1
320,16.6,73,5,22,11
25,9.7,61,5,23,4
92,12.0,61,5,24,32
13,12.0,67,5,28,23
252,14.9,81,5,29,45
223,5.7,79,5,30,115
279,7.4,76,5,31,37
127,9.7,82,6,7,29
291,13.8,90,6,9,71
323,11.5,87,6,10,39
148,8.0,82,6,13,23
191,14.9,77,6,16,21
284,20.7,72,6,17,37
37,9.2,65,6,18,20
120,11.5,73,6,19,12
137,10.3,76,6,20,13
269,4.1,84,7,1,135
248,9.2,85,7,2,49
236,9.2,81,7,3,32
175,4.6,83,7,5,64
314,10.9,83,7,6,40
276,5.1,88,7,7,77
267,6.3,92,7,8,97
272,5.7,92,7,9,97
175,7.4,89,7,10,85
264,14.3,73,7,12,10
175,14.9,81,7,13,27
48,14.3,80,7,15,7
260,6.9,81,7,16,48
274,10.3,82,7,17,35
285,6.3,84,7,18,61
187,5.1,87,7,19,79
220,11.5,85,7,20,63
7,6.9,74,7,21,16
294,8.6,86,7,24,80
223,8.0,85,7,25,108
81,8.6,82,7,26,20
82,12.0,86,7,27,52
213,7.4,88,7,28,82
275,7.4,86,7,29,50
253,7.4,83,7,30,64
254,9.2,81,7,31,59
83,6.9,81,8,1,39
24,13.8,81,8,2,9
77,7.4,82,8,3,16
255,4.0,89,8,7,122
229,10.3,90,8,8,89
207,8.0,90,8,9,110
192,11.5,86,8,12,44
273,11.5,82,8,13,28
157,9.7,80,8,14,65
71,10.3,77,8,16,22
51,6.3,79,8,17,59
115,7.4,76,8,18,23
244,10.9,78,8,19,31
190,10.3,78,8,20,44
259,15.5,77,8,21,21
36,14.3,72,8,22,9
212,9.7,79,8,24,45
238,3.4,81,8,25,168
215,8.0,86,8,26,73
203,9.7,97,8,28,76
225,2.3,94,8,29,118
237,6.3,96,8,30,84
188,6.3,94,8,31,85
167,6.9,91,9,1,96
197,5.1,92,9,2,78
183,2.8,93,9,3,73
189,4.6,93,9,4,91
95,7.4,87,9,5,47
92,15.5,84,9,6,32
252,10.9,80,9,7,20
220,10.3,78,9,8,23
230,10.9,75,9,9,21
259,9.7,73,9,10,24
236,14.9,81,9,11,44
259,15.5,76,9,12,21
238,6.3,77,9,13,28
24,10.9,71,9,14,9
112,11.5,71,9,15,13
237,6.9,78,9,16,46
224,13.8,67,9,17,18
27,10.3,76,9,18,13
238,10.3,68,9,19,24
201,8.0,82,9,20,16
238,12.6,64,9,21,13
14,9.2,71,9,22,23
139,10.3,81,9,23,36
49,10.3,69,9,24,7
20,16.6,63,9,25,14
193,6.9,70,9,26,30
191,14.3,75,9,28,14
131,8.0,76,9,29,18
223,11.5,68,9,30,20
